memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.09 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.20 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.20 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.10 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.34 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.20 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.19 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.11 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.34 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.49 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.10 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.20 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.20 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 23.01 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.20 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.19 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.11 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.11 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.34 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.20 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.19 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.34 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.20 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.34 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.10 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.19 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.19 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.34 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.20 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.11 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.19 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.39 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.19 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.33 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.49 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.19 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.43 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 23.38 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-674f6aff-d902-388c-341d-e6aadf0c9561
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 31, 23.19 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-f35b0379-423c-bc28-ae3b-48a798356680
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 30, 22.92 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-3743be94-2fac-f94b-29c6-ec48e8e82948
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 34, 22.33 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-22dc0df3-1c99-c5fe-35e5-a80e02d4bcde
